customerid,name,address,credit,status,remarks
1,Zak Abbots,Panguruan,37085,true,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
2,Parrnell Honniebal,Goúvai,31443,false,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
3,Allsun Minet,Beaufort,11376,false,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
4,Rosalia Yukhnev,Zhangduangu,42569,false,Sed ante. Vivamus tortor. Duis mattis egestas metus.
5,Trixie Iwanowicz,Municipio de Copacabana,22882,false,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.
6,Godiva Patel,Coro,27442,true,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.
7,Onfre Roscow,Horní Počaply,43792,true,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti."
8,Merrielle Sirmon,Karangdalam,34668,false,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus."
9,Randi Armatys,Voyinka,22448,true,Fusce consequat. Nulla nisl. Nunc nisl.
10,Nickolaus Simmings,Afonsoeiro,27271,false,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
11,Hernando Crann,Žebrák,41397,true,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.
12,Mikol Penni,Benito Juarez,20602,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
13,Lucine Callen,Zoetermeer,28246,true,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.
14,Fidelia Pomphrey,Tutnae,18095,false,Phasellus in felis. Donec semper sapien a libero. Nam dui.
15,Shirleen Bravey,Oliveirinha,40433,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
